№	Код параметра	Наименование параметра настройки	Тип	Значение	Наименование модуля	№ модуля
15	A2UR00RIM  (ЭСППЗУ)	Коэффициент-0 (долл) функции реактивности вносимой РБ (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	14 MODEL
16	A2UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой РБ (долл)	Вещ.	0.026	AZBARS - Модель реактора (точечная)	14 MODEL
17	A3UR00RIM  (ЭСППЗУ)	Коэффициент-0 функции реактивности вносимой ИС (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	14 MODEL
18	A3UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой ИС (долл)	Вещ.	0.0096	AZBARS - Модель реактора (точечная)	14 MODEL
19	R0UT03RIM  (ЭСППЗУ)	Нормальная температура АЗ град	Вещ.	25	AZBARS - Модель реактора (точечная)	14 MODEL
20	R0UT06RIM  (ЭСППЗУ)	Конвекционное сопротивление при обдуве	Вещ.	0.0055	AZBARS - Модель реактора (точечная)	14 MODEL
21	A0UR02RSP  (ЭСППЗУ)	Стартовый  поток нейтронов АЗ1	Вещ.	0.000000166	AZBARS - Модель реактора (точечная)	14 MODEL
22	A0UR01RSP  (ЭСППЗУ)	Стартовая  реактивность АЗ1	Вещ.	-0.15912805	AZBARS - Модель реактора (точечная)	14 MODEL
23	A0UT03RSP  (ЭСППЗУ)	Стартовая  температура АЗ1 град	Вещ.	25.017338	AZBARS - Модель реактора (точечная)	14 MODEL
24	TERA1IE04LDU  (ЭСППЗУ)	Искажение Движение ББ1 назад (от БУШД)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	41 MODEL
25	TERA1IE03LDU  (ЭСППЗУ)	Искажение Движение ББ1 вперёд (от БУШД)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	56 MODEL
26	A1MC01RC1  (ЭСППЗУ)	Заданная координата  ББ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
27	A1MC02RC1  (ЭСППЗУ)	Заданная координата штока ББ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
28	A1MV01RC1  (ЭСППЗУ)	Заданная скорость движения  ББ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
29	A1MV02RC1  (ЭСППЗУ)	Заданная скорость движения  штока ББ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
30	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
31	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
32	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
33	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
34	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
35	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
36	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
37	A1UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя ББ в скорость мм/с	Вещ.	0.000877	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
38	A1UP01RIM  (ЭСППЗУ)	Текущее давление на сброс ББ (МПа)	Вещ.	0.76	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
39	A1UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера ББ(мм)	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
40	A1US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера ББ	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
41	A1UV02RIM  (ЭСППЗУ)	Ускорение сброса ББ от пневматики - g (мм/с^2)	Вещ.	9807.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
42	TERBB1  (ЭСППЗУ)	Неисправности  ББ1	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
43	A1UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя ББ мм	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
44	A1UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ББ мм	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
45	A1UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя ББ мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
46	A1UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ ББ(мм)	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
47	A1MC01RSP  (ЭСППЗУ)	Стартовая координата  ББ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
48	A1MC02RSP  (ЭСППЗУ)	Стартовая координата штока ББ1	Вещ.	0.000167646	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
49	A1MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  ББ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
50	A1MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  ББ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	60 MODEL
51	A1UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ББ мм	Вещ.	100	FSUBO - Модуль вычитания вещественных параметров	74 MODEL
52	A2MC01RC1  (ЭСППЗУ)	Заданная координата РБ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
53	A2MC02RC1  (ЭСППЗУ)	Заданная координата штока РБ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
54	A2MV01RC1  (ЭСППЗУ)	Заданная скорость движения РБ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
55	A2MV02RC1  (ЭСППЗУ)	Заданная скорость движения штока РБ1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
56	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
57	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
58	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
59	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
60	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
61	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
62	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
63	A2UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя РБ в скорость мм/с	Вещ.	0.002375	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
64	A2UP02RIM  (ЭСППЗУ)	Текущее давление на подъём РБ	Вещ.	0.45	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
65	A2UP01RIM  (ЭСППЗУ)	Текущее давление на сброс РБ	Вещ.	0.245	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
66	A2UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера РБ	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
67	A2US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера РБ	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
68	A2UV02RIM  (ЭСППЗУ)	Ускорение сброса РБ от пневматики - g (мм/с^2)	Вещ.	12750.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
69	TERRB1  (ЭСППЗУ)	Неисправности  РБ1	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
70	A2UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя РБ мм	Вещ.	80	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
71	A2UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя РБ мм	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
72	A2UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя РБ мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
73	A2UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ  РБ мм	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
74	A2MC01RSP  (ЭСППЗУ)	Стартовая координата  РБ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
75	A2MC02RSP  (ЭСППЗУ)	Стартовая координата штока РБ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
76	A2MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  РБ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
77	A2MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  РБ1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	96 MODEL
78	A2UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя РБ мм	Вещ.	100	FSUBO - Модуль вычитания вещественных параметров	115 MODEL
79	A3MC01RC1  (ЭСППЗУ)	Заданная координата ИС1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
80	A3MC02RC1  (ЭСППЗУ)	Заданная координата штока ИС1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
81	A3MV01RC1  (ЭСППЗУ)	Заданная скорость движения ИС1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
82	A3MV02RC1  (ЭСППЗУ)	Заданная скорость движения штока ИС1 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
83	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
84	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
85	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
86	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
87	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
88	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
89	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
90	A3UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя ИС в скорость мм/с	Вещ.	0.001675	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
91	A3UP01RIM  (ЭСППЗУ)	Текущее давление на СПУСК ИС	Вещ.	0.13	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
92	A3UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера ИС	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
93	A3US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера ИС	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
94	A3UV02RIM  (ЭСППЗУ)	Ускорение сброса ИС от пневматики - g (мм/с^2)	Вещ.	22975.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
95	TERIS1  (ЭСППЗУ)	Неисправности  ИС1	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
96	A3UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя ИС мм	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
97	A3UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ИС мм	Вещ.	165	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
98	A3UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя ИС мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
99	A3UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ ИС(мм)	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
100	A3MC01RSP  (ЭСППЗУ)	Стартовая координата  ИС1	Вещ.	0.000885839	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
101	A3MC02RSP  (ЭСППЗУ)	Стартовая координата штока ИС1	Вещ.	0.000885839	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
102	A3MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  ИС1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
103	A3MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  ИС1	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	130 MODEL
104	TERA7MS31LIM  (ЭСППЗУ)	Искажение:  Клапан «Обдув АЗ1» открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	149 MODEL
105	TERB7MS31LIM  (ЭСППЗУ)	Искажение: Клапан (Обдув АЗ2) открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	150 MODEL
106	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TO3VAL - модель размножения вещественного сигнала	156 MODEL
107	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TO3VAL - модель размножения вещественного сигнала	156 MODEL
108	TERB0MT01RIM  (ЭСППЗУ)	Искажение: Текущая температура AЗ2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	156 MODEL
109	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TO3VAL - модель размножения вещественного сигнала	158 MODEL
110	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TO3VAL - модель размножения вещественного сигнала	158 MODEL
111	TERA0MT01RIM  (ЭСППЗУ)	Искажение: Текущая температура AЗ1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	158 MODEL
112	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	161 MODEL
113	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	161 MODEL
114	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	162 MODEL
115	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	162 MODEL
116	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	163 MODEL
117	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	163 MODEL
118	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	164 MODEL
119	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	164 MODEL
120	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	165 MODEL
121	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	165 MODEL
122	R0UT01RDU  (ЭСППЗУ)	Нижний предел шкалы датчика температуры	Вещ.	0	TOAO - Преобразование в код Fas4	166 MODEL
123	R0UT02RDU  (ЭСППЗУ)	Верхний предел шкалы датчика температуры	Вещ.	600	TOAO - Преобразование в код Fas4	166 MODEL
124	R0UR30RIM  (ЭСППЗУ)	Реактивность вносимая образцами (долл)	Вещ.	0.0	AZBARS - Модель реактора (точечная)	182 MODEL
125	R8AD10LC1  (ЭСППЗУ)	Установить аварийный НИ от ИС	Лог.	1	AZBARS - Модель реактора (точечная)	182 MODEL
126	R0UL01RIM  (ЭСППЗУ)	Среднее время генерации нейтронов	Вещ.	0.015	AZBARS - Модель реактора (точечная)	182 MODEL
127	R0UN02RIM  (ЭСППЗУ)	Доля запаздывающих нейтронов в общем количестве нейтронов	Вещ.	0.0069	AZBARS - Модель реактора (точечная)	182 MODEL
128	R0UT01RIM  (ЭСППЗУ)	Температурный коэффициент (долл)	Вещ.	0.0026	AZBARS - Модель реактора (точечная)	182 MODEL
129	R0UT02RIM  (ЭСППЗУ)	Масса топлива в АЗ	Вещ.	106	AZBARS - Модель реактора (точечная)	182 MODEL
130	R0UT04RIM  (ЭСППЗУ)	Удельная теплоёмкость топлива	Вещ.	135.227	AZBARS - Модель реактора (точечная)	182 MODEL
131	R0UT05RIM  (ЭСППЗУ)	Энергия деления ядра	Вещ.	320.435466	AZBARS - Модель реактора (точечная)	182 MODEL
132	R0UH05RSS  (ЭСППЗУ)	Кол-во делений/сек на 1 ватт * E^6	Вещ.	32000.0	AZBARS - Модель реактора (точечная)	182 MODEL
133	A0UN02RIM  (ЭСППЗУ)	Мощность источника нейтронов с АНИ	Вещ.	0.08	AZBARS - Модель реактора (точечная)	182 MODEL
134	A0UN01RIM  (ЭСППЗУ)	Мощность источника нейтронов ИНИ	Вещ.	1E12	AZBARS - Модель реактора (точечная)	182 MODEL
135	A1UR00RIM  (ЭСППЗУ)	Коэффициент-0 функции реактивности вносимой ББ (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	182 MODEL
136	A1UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой ББ (долл)	Вещ.	0.21	AZBARS - Модель реактора (точечная)	182 MODEL
137	A2UR00RIM  (ЭСППЗУ)	Коэффициент-0 (долл) функции реактивности вносимой РБ (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	182 MODEL
138	A2UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой РБ (долл)	Вещ.	0.026	AZBARS - Модель реактора (точечная)	182 MODEL
139	A3UR00RIM  (ЭСППЗУ)	Коэффициент-0 функции реактивности вносимой ИС (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	182 MODEL
140	A3UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой ИС (долл)	Вещ.	0.0096	AZBARS - Модель реактора (точечная)	182 MODEL
141	R0UT03RIM  (ЭСППЗУ)	Нормальная температура АЗ град	Вещ.	25	AZBARS - Модель реактора (точечная)	182 MODEL
142	R0UT06RIM  (ЭСППЗУ)	Конвекционное сопротивление при обдуве	Вещ.	0.0055	AZBARS - Модель реактора (точечная)	182 MODEL
143	A0UR02RSP  (ЭСППЗУ)	Стартовый  поток нейтронов АЗ1	Вещ.	0.000000166	AZBARS - Модель реактора (точечная)	182 MODEL
144	A0UR01RSP  (ЭСППЗУ)	Стартовая  реактивность АЗ1	Вещ.	-0.15912805	AZBARS - Модель реактора (точечная)	182 MODEL
145	B0UT03RSP  (ЭСППЗУ)	Стартовая  температура АЗ2 град	Вещ.	25.017338	AZBARS - Модель реактора (точечная)	182 MODEL
146	TERB1IE04LDU  (ЭСППЗУ)	Искажение Движение ББ2 назад (от БУШД)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	208 MODEL
147	TERB1IE03LDU  (ЭСППЗУ)	Искажение Движение ББ2 вперёд (от БУШД)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	226 MODEL
148	B1MC01RC1  (ЭСППЗУ)	Заданная координата ББ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
149	B1MC02RC1  (ЭСППЗУ)	Заданная координата штока ББ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
150	B1MV01RC1  (ЭСППЗУ)	Заданная скорость движения ББ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
151	B1MV02RC1  (ЭСППЗУ)	Заданная скорость движения штока ББ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
152	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
153	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
154	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
155	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
156	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
157	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
158	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
159	A1UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя ББ в скорость мм/с	Вещ.	0.000877	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
160	A1UP01RIM  (ЭСППЗУ)	Текущее давление на сброс ББ (МПа)	Вещ.	0.76	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
161	A1UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера ББ(мм)	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
162	A1US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера ББ	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
163	A1UV02RIM  (ЭСППЗУ)	Ускорение сброса ББ от пневматики - g (мм/с^2)	Вещ.	9807.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
164	TERBB2  (ЭСППЗУ)	Неисправности  ББ2	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
165	A1UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя ББ мм	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
166	A1UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ББ мм	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
167	A1UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя ББ мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
168	A1UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ ББ(мм)	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
169	B1MC01RSP  (ЭСППЗУ)	Стартовая координата  ББ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
